models,roc_aucs,recalls
LogisticRegression,0.7069829700540696,0.6514084507042254
RandomForestClassifier,0.6293384971656977,0.2860915492957746
DecisionTreeClassifier,0.6124190925152321,0.2869718309859155
GradientBoostingClassifier,0.7785844667155245,0.784330985915493
LGBMClassifier,0.7782795950561334,0.7834507042253521
KNeighborsClassifier,0.640757153390176,0.4586267605633803
